Tiempo,Temperatura (°C),Humedad (%)
16:57:55.479,30.2,42.0
16:57:57.427,30.1,42.0
16:57:59.475,30.6,43.0
16:58:01.471,30.1,43.0
16:58:03.520,30.5,43.0
16:58:05.516,30.7,43.0
16:58:07.564,30.4,43.0
16:58:09.560,30.2,43.0
16:58:11.662,30.0,43.0
16:58:13.649,30.2,43.0
16:58:15.664,30.5,43.0
16:58:17.701,30.7,43.0
16:58:19.697,30.4,43.0
16:58:21.737,30.1,43.0
16:58:23.745,30.6,43.0
16:58:25.792,30.0,43.0
16:58:27.788,30.2,43.0
16:58:29.887,30.8,43.0
16:58:31.887,30.3,43.0
16:58:33.892,30.1,43.0
16:58:36.025,30.7,44.0
16:58:37.924,30.6,45.0
16:58:39.974,30.3,46.0
16:58:41.971,30.4,47.0
16:58:44.062,30.9,47.0
16:58:46.016,30.8,47.0
16:58:48.064,30.3,46.0
16:58:50.064,30.7,46.0
16:58:52.157,31.0,45.0
16:58:54.156,31.5,44.0
16:58:56.153,31.9,44.0
16:58:58.201,31.6,44.0
16:59:00.200,31.3,43.0
16:59:02.247,31.1,43.0
16:59:04.294,31.0,43.0
16:59:06.292,31.6,43.0
16:59:08.286,31.5,43.0
16:59:10.335,31.9,43.0
16:59:12.384,31.0,43.0
16:59:14.434,31.9,43.0
16:59:16.429,31.6,42.0
16:59:18.426,31.3,42.0
16:59:20.472,31.0,42.0
16:59:22.478,31.8,42.0
16:59:24.518,31.2,42.0
16:59:26.515,31.4,42.0
16:59:28.562,31.2,42.0
16:59:30.662,31.1,42.0
16:59:32.609,31.6,42.0
16:59:34.656,31.2,42.0
16:59:36.706,31.0,42.0
16:59:38.660,32.1,41.0
16:59:40.698,32.3,41.0
16:59:42.795,32.8,41.0
16:59:44.742,32.2,41.0
16:59:46.788,32.3,41.0
